Date,Open,High,Low,Close,Adj Close,Volume
2020-03-01,4.754050,5.804255,2.391090,2.400467,2.400467,14142943
2020-04-01,2.297322,2.981830,2.119162,2.625511,2.625511,12029861
2020-05-01,2.625511,2.850000,2.380000,2.650000,2.650000,5608263
2020-06-01,2.670000,3.990000,2.670000,3.580000,3.580000,20842500
2020-07-01,3.610000,5.970000,3.550000,4.830000,4.830000,34197300
2020-08-01,4.890000,5.340000,4.360000,4.620000,4.620000,15372900
2020-09-01,4.640000,6.630000,4.620000,5.940000,5.940000,33594600
2020-10-01,5.980000,11.390000,5.890000,9.310000,9.310000,71847600
2020-11-01,9.310000,16.799999,9.310000,14.710000,14.710000,112523800
2020-12-01,15.010000,18.480000,12.350000,12.650000,12.650000,107236200
2021-01-01,12.650000,14.800000,11.550000,12.660000,12.660000,56687800
2021-02-01,12.890000,14.240000,12.340000,12.510000,12.510000,13280500
2021-02-18,12.600000,12.610000,12.000000,12.100000,12.100000,708300
