Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,5.879269,5.935530,5.813631,5.907400,5.907400,179058
2020-02-19,5.926153,5.973037,5.804255,5.832385,5.832385,234301
2020-02-20,5.813631,5.832385,5.560457,5.644848,5.644848,355984
2020-02-21,5.663602,5.663602,5.288529,5.532327,5.532327,416665
2020-02-26,null,null,null,null,null,null
2020-02-27,4.800934,5.372921,4.669659,4.969717,4.969717,708662
2020-02-28,4.960340,5.147877,4.754050,4.754050,4.754050,332201
2020-03-02,4.754050,5.551080,4.754050,5.326036,5.326036,525870
2020-03-03,5.391674,5.804255,5.326036,5.419805,5.419805,566503
2020-03-04,5.635472,5.719863,5.335413,5.344790,5.344790,372834
2020-03-05,5.438558,5.513573,4.979094,4.979094,4.979094,173619
2020-03-06,4.829065,4.875949,4.594644,4.875949,4.875949,418905
2020-03-09,4.500876,4.500876,3.750730,3.750730,3.750730,945202
2020-03-10,4.135180,4.594644,3.975774,4.594644,4.594644,664617
2020-03-11,4.322716,4.725920,4.041411,4.575890,4.575890,559357
2020-03-12,3.750730,3.994527,3.516309,3.750730,3.750730,463483
2020-03-13,4.322716,4.360223,3.835121,4.078919,4.078919,574181
2020-03-16,3.656961,3.750730,3.385034,3.506932,3.506932,361956
2020-03-17,3.563193,3.872628,3.385034,3.413164,3.413164,227582
2020-03-18,3.159990,3.169367,2.475481,2.719279,2.719279,297115
2020-03-19,2.738033,3.094352,2.391090,2.953700,2.953700,409840
2020-03-20,3.019337,3.497555,2.822424,2.991207,2.991207,436181
2020-03-23,3.009961,3.206874,2.738033,2.803670,2.803670,163488
2020-03-24,3.188120,3.206874,2.944323,3.141236,3.141236,291036
2020-03-25,3.328773,3.619454,3.150613,3.563193,3.563193,269600
2020-03-26,3.619454,3.619454,2.972453,3.188120,3.188120,1879953
2020-03-27,3.038091,3.038091,2.794294,2.822424,2.822424,1837935
2020-03-30,2.831801,2.953700,2.578627,2.644264,2.644264,1542099
2020-03-31,2.691148,2.700525,2.400467,2.400467,2.400467,1161587
2020-04-01,2.297322,2.494235,2.203554,2.409844,2.409844,433835
2020-04-02,2.531742,2.569250,2.166046,2.194177,2.194177,815841
2020-04-03,2.194177,2.241061,2.119162,2.203554,2.203554,975703
2020-04-06,2.297322,2.409844,2.250438,2.306699,2.306699,371234
2020-04-07,2.428597,2.522366,2.344206,2.344206,2.344206,430209
2020-04-08,2.344206,2.428597,2.278568,2.400467,2.400467,358970
2020-04-09,2.428597,2.578627,2.400467,2.484858,2.484858,577274
2020-04-13,2.494235,2.522366,2.428597,2.456728,2.456728,238993
2020-04-14,2.484858,2.850554,2.484858,2.756786,2.756786,1024333
2020-04-15,2.644264,2.859931,2.512989,2.747409,2.747409,1039477
2020-04-16,2.813047,2.841178,2.578627,2.588003,2.588003,582819
2020-04-17,2.719279,2.794294,2.578627,2.644264,2.644264,415492
2020-04-20,2.644264,2.691148,2.550496,2.625511,2.625511,274933
2020-04-22,2.606757,2.897439,2.559873,2.794294,2.794294,839729
2020-04-23,2.747409,2.981830,2.672395,2.691148,2.691148,1009083
2020-04-24,2.634887,2.700525,2.437974,2.475481,2.475481,581433
2020-04-27,2.522366,2.756786,2.522366,2.681772,2.681772,605642
2020-04-28,2.784917,2.897439,2.700525,2.700525,2.700525,459323
2020-04-29,2.766163,2.822424,2.625511,2.738033,2.738033,628250
2020-04-30,2.672395,2.709902,2.625511,2.625511,2.625511,367288
2020-05-04,2.531742,2.634887,2.437974,2.634887,2.634887,323563
2020-05-05,2.728656,2.728656,2.588003,2.616134,2.616134,338600
2020-05-06,2.780000,2.780000,2.620000,2.650000,2.650000,289400
2020-05-07,2.670000,2.730000,2.630000,2.630000,2.630000,206100
2020-05-08,2.650000,2.700000,2.560000,2.590000,2.590000,298400
2020-05-11,2.520000,2.570000,2.490000,2.530000,2.530000,201300
2020-05-12,2.530000,2.560000,2.430000,2.450000,2.450000,231900
2020-05-13,2.430000,2.490000,2.400000,2.480000,2.480000,184400
2020-05-14,2.480000,2.570000,2.380000,2.570000,2.570000,171700
2020-05-15,2.540000,2.540000,2.440000,2.440000,2.440000,101100
2020-05-18,2.540000,2.540000,2.430000,2.440000,2.440000,233700
2020-05-19,2.440000,2.530000,2.440000,2.480000,2.480000,154200
2020-05-20,2.480000,2.510000,2.470000,2.500000,2.500000,213000
2020-05-21,2.520000,2.570000,2.510000,2.520000,2.520000,288000
2020-05-22,2.520000,2.530000,2.460000,2.530000,2.530000,156200
2020-05-25,2.540000,2.680000,2.540000,2.580000,2.580000,505300
2020-05-26,2.640000,2.680000,2.550000,2.580000,2.580000,226400
2020-05-27,2.590000,2.700000,2.550000,2.660000,2.660000,308400
2020-05-28,2.660000,2.850000,2.620000,2.720000,2.720000,889800
2020-05-29,2.720000,2.730000,2.630000,2.650000,2.650000,286800
2020-06-01,2.670000,2.900000,2.670000,2.820000,2.820000,804200
2020-06-02,2.900000,3.270000,2.890000,3.190000,3.190000,1791100
2020-06-03,3.380000,3.710000,3.160000,3.280000,3.280000,2552800
2020-06-04,3.250000,3.270000,3.000000,3.190000,3.190000,1255700
2020-06-05,3.400000,3.480000,3.150000,3.170000,3.170000,899000
2020-06-08,3.260000,3.340000,3.150000,3.260000,3.260000,895100
2020-06-09,3.180000,3.360000,3.040000,3.300000,3.300000,673200
2020-06-10,3.350000,3.790000,3.350000,3.620000,3.620000,1791800
2020-06-12,3.270000,3.500000,3.270000,3.350000,3.350000,825400
2020-06-15,3.130000,3.260000,3.050000,3.180000,3.180000,681800
2020-06-16,3.300000,3.400000,3.160000,3.190000,3.190000,422700
2020-06-17,3.160000,3.370000,3.110000,3.300000,3.300000,612900
2020-06-18,3.300000,3.350000,3.240000,3.340000,3.340000,318600
2020-06-19,3.400000,3.480000,3.310000,3.370000,3.370000,631100
2020-06-22,3.450000,3.920000,3.410000,3.760000,3.760000,1992600
2020-06-23,3.900000,3.990000,3.660000,3.680000,3.680000,1059500
2020-06-24,3.730000,3.730000,3.460000,3.560000,3.560000,644600
2020-06-25,3.750000,3.750000,3.520000,3.610000,3.610000,380100
2020-06-26,3.590000,3.880000,3.550000,3.670000,3.670000,1436200
2020-06-29,3.800000,3.810000,3.570000,3.740000,3.740000,513200
2020-06-30,3.750000,3.750000,3.540000,3.580000,3.580000,660900
2020-07-01,3.610000,3.650000,3.550000,3.610000,3.610000,346800
2020-07-02,3.620000,3.730000,3.550000,3.610000,3.610000,410600
2020-07-03,3.570000,3.660000,3.550000,3.640000,3.640000,267800
2020-07-06,3.700000,3.800000,3.680000,3.700000,3.700000,623600
2020-07-07,3.690000,3.780000,3.640000,3.710000,3.710000,520100
2020-07-08,3.800000,4.460000,3.770000,4.340000,4.340000,5137700
2020-07-09,4.290000,4.340000,4.060000,4.160000,4.160000,1304100
2020-07-10,4.230000,4.540000,4.160000,4.180000,4.180000,1764800
2020-07-13,4.200000,4.320000,4.000000,4.050000,4.050000,827300
2020-07-14,4.060000,4.360000,3.900000,4.340000,4.340000,1746900
2020-07-15,4.500000,4.530000,4.280000,4.360000,4.360000,1124000
2020-07-16,4.370000,4.740000,4.290000,4.710000,4.710000,1482900
2020-07-17,4.690000,5.400000,4.640000,5.180000,5.180000,3646700
2020-07-20,5.230000,5.750000,5.230000,5.590000,5.590000,2631600
2020-07-21,5.750000,5.970000,5.430000,5.660000,5.660000,2239700
2020-07-22,5.610000,5.680000,5.290000,5.410000,5.410000,1538800
2020-07-23,5.350000,5.490000,5.100000,5.100000,5.100000,1116300
2020-07-24,5.240000,5.590000,5.010000,5.590000,5.590000,1788900
2020-07-27,5.630000,5.640000,5.170000,5.250000,5.250000,1713400
2020-07-28,5.250000,5.340000,5.050000,5.120000,5.120000,1098100
2020-07-29,5.120000,5.340000,4.930000,4.970000,4.970000,1084000
2020-07-30,4.910000,5.090000,4.700000,4.980000,4.980000,997500
2020-07-31,5.070000,5.070000,4.800000,4.830000,4.830000,785700
2020-08-03,4.890000,5.000000,4.750000,4.780000,4.780000,525700
2020-08-04,4.750000,4.930000,4.540000,4.600000,4.600000,542600
2020-08-05,4.530000,4.980000,4.450000,4.970000,4.970000,780700
2020-08-06,4.970000,5.190000,4.860000,4.950000,4.950000,1242800
2020-08-07,4.920000,5.120000,4.920000,5.020000,5.020000,559400
2020-08-10,5.060000,5.250000,4.970000,5.150000,5.150000,1075800
2020-08-11,5.170000,5.240000,5.030000,5.080000,5.080000,876300
2020-08-12,5.260000,5.340000,5.060000,5.200000,5.200000,1499000
2020-08-13,5.200000,5.200000,4.900000,4.900000,4.900000,616600
2020-08-14,4.910000,5.040000,4.900000,4.980000,4.980000,314900
2020-08-17,5.010000,5.050000,4.360000,4.530000,4.530000,1478500
2020-08-18,4.530000,4.810000,4.530000,4.810000,4.810000,750800
2020-08-19,4.850000,4.880000,4.700000,4.700000,4.700000,392000
2020-08-20,4.650000,4.930000,4.570000,4.850000,4.850000,670700
2020-08-21,4.850000,5.020000,4.830000,4.940000,4.940000,469900
2020-08-24,4.990000,5.130000,4.940000,5.050000,5.050000,898400
2020-08-25,5.050000,5.100000,4.960000,5.050000,5.050000,354500
2020-08-26,5.070000,5.100000,4.800000,4.870000,4.870000,657300
2020-08-27,4.830000,4.940000,4.720000,4.750000,4.750000,414700
2020-08-28,4.750000,4.850000,4.590000,4.720000,4.720000,667200
2020-08-31,4.620000,4.730000,4.540000,4.620000,4.620000,585100
2020-09-01,4.640000,4.770000,4.620000,4.690000,4.690000,435500
2020-09-02,4.720000,4.970000,4.690000,4.940000,4.940000,606300
2020-09-03,4.900000,5.170000,4.780000,5.010000,5.010000,1235400
2020-09-04,5.020000,5.220000,4.920000,5.110000,5.110000,904900
2020-09-08,5.090000,5.340000,4.950000,5.300000,5.300000,1471700
2020-09-09,5.280000,5.300000,5.110000,5.220000,5.220000,881700
2020-09-10,5.170000,5.410000,5.050000,5.170000,5.170000,1398100
2020-09-11,5.200000,5.260000,4.970000,5.040000,5.040000,587200
2020-09-14,5.100000,5.350000,5.070000,5.300000,5.300000,687900
2020-09-15,5.360000,5.580000,5.220000,5.380000,5.380000,1122100
2020-09-16,5.650000,5.830000,5.450000,5.700000,5.700000,2604400
2020-09-17,5.600000,6.330000,5.470000,6.150000,6.150000,3733500
2020-09-18,6.130000,6.630000,6.050000,6.550000,6.550000,4290900
2020-09-21,6.440000,6.480000,5.900000,6.000000,6.000000,2656300
2020-09-22,6.040000,6.400000,6.040000,6.150000,6.150000,1940400
2020-09-23,6.190000,6.230000,5.810000,5.870000,5.870000,1079000
